,uid,datetime,zone_id,ble_users,scores,infected,potentially_infected
0,1d,2019-01-01 15:00:00.000000,Gare,"86d,45f,62f",0.0,False,False
1,1d,2019-01-01 18:00:00.000000,ENIM,"86d,123d,146d,62f",0.0,False,False
2,1d,2019-01-02 11:00:00.000000,ENIM,"16d,103d,125d,146d",0.0,False,False
3,1d,2019-01-02 17:00:00.000000,Maisons 1,"96d,99d,131d",0.0,False,False
4,1d,2019-01-03 08:00:00.000000,ENIM,"31d,36d,73d,86d,109d,123d,143d,26f",0.0,False,False
5,1d,2019-01-03 16:00:00.000000,Gare,44d,0.0,False,False
6,1d,2019-01-03 21:00:00.000000,ENIM,"16d,82d,97d",0.0,False,False
7,1d,2019-01-04 07:00:00.000000,ENIM,86d,0.0,False,False
8,1d,2019-01-05 00:00:00.000000,Gare,"83d,93d,102d,106d,85f",0.0,False,False
9,1d,2019-01-05 21:00:00.000000,Gare,"9d,22d,53d,89d,129d,136d,78f,113f,116f",0.0,False,False
10,1d,2019-01-05 22:00:00.000000,ENIM,"21d,26d,44d,77d,87d,129d,150d,82f",0.0,False,False
11,1d,2019-01-06 13:00:00.000000,Gare,"105d,142d,149d",0.0,False,False
12,1d,2019-01-06 22:00:00.000000,ENIM,"4d,23d,27d,31d,36d,54d,86d,89d,111d,49f",0.0,False,False
13,1d,2019-01-07 20:00:00.000000,Maisons 1,4d,0.0,False,False
14,1d,2019-01-08 08:00:00.000000,ENIM,"20d,26d,31d,139d,88f",0.0,False,False
15,1d,2019-01-09 18:00:00.000000,Maisons 1,"30d,113f,128f",0.0,False,False
16,1d,2019-01-09 22:00:00.000000,ENIM,"57d,60d,120d,141d",0.0,False,False
17,1d,2019-01-11 20:00:00.000000,Carrefour,"11d,137d",0.0,False,False
18,1d,2019-01-12 08:00:00.000000,ENIM,"31d,73d,86d,109d,127d",0.0,False,False
19,1d,2019-01-13 17:00:00.000000,Maisons 1,"20d,96d,119d",0.0,False,False
20,1d,2019-01-13 22:00:00.000000,Gare,"7d,24d,86d,100e",0.0,False,False
21,1d,2019-01-14 08:00:00.000000,ENIM,"16d,20d,25d,45d,64d,77d,86d,105d,127d,143d,12f",0.0,False,False
22,1d,2019-01-14 10:00:00.000000,Gare,"4d,77d,62c,79f",0.0,False,False
23,1d,2019-01-14 11:00:00.000000,ENIM,138d,0.0,False,False
24,2d,2019-01-01 19:00:00.000000,ENIM,"66d,76d,102d,45f",0.0,False,False
25,2d,2019-01-02 08:00:00.000000,Gare,"42d,47d,53d,91d,114d,129d",0.0,False,False
26,2d,2019-01-03 15:00:00.000000,ENIM,44f,0.0,False,False
27,2d,2019-01-03 18:00:00.000000,Gare,"7d,35d,105d,124d,127d,129d,130d,140d,66f",0.0,False,False
28,2d,2019-01-03 20:00:00.000000,EMI,"54d,83d,88f",0.0,False,False
29,2d,2019-01-04 11:00:00.000000,Gare,"13d,56d,70d",0.0,False,False
30,2d,2019-01-04 18:00:00.000000,ENIM,"28d,46d,129d",0.0,False,False
31,2d,2019-01-04 22:00:00.000000,Gare,"5d,24d,26d,69d,90d,140d,12f",0.0,False,False
32,2d,2019-01-05 15:00:00.000000,ENIM,98d,0.0,False,False
33,2d,2019-01-05 18:00:00.000000,Gare,"9d,23d,39d,46d,12f",0.0,False,False
34,2d,2019-01-05 19:00:00.000000,Gare,"12d,25d,36d,44d,58d,69d",0.0,False,False
35,2d,2019-01-07 13:00:00.000000,ENIM,"36d,41d,46f",0.0,False,False
36,2d,2019-01-07 19:00:00.000000,Gare,"9d,20d,29d,31d,43d,124d,140d",0.0,False,False
37,2d,2019-01-08 09:00:00.000000,EMI,123d,0.0,False,False
38,2d,2019-01-08 12:00:00.000000,ENIM,"123d,116f",0.0,False,False
39,2d,2019-01-08 16:00:00.000000,EMI,134d,0.0,False,False
40,2d,2019-01-08 18:00:00.000000,ENIM,"7d,31d,44d,54d,82d,142d,45f,113f",0.0,False,False
41,2d,2019-01-09 02:00:00.000000,Gare,"46d,70d,91d,69f",0.0,False,False
42,2d,2019-01-10 12:00:00.000000,EMI,"50d,134d",0.0,False,False
43,2d,2019-01-10 21:00:00.000000,Gare,"50d,90d,109d,124d,144d",0.0,False,False
44,2d,2019-01-11 23:00:00.000000,EMI,"81d,94d,115d,49f,129f",0.0,False,False
45,2d,2019-01-12 08:00:00.000000,Gare,"5d,42d,79d,45f,69f,116f",0.0,False,False
46,2d,2019-01-12 20:00:00.000000,ENIM,"46d,52d,99d,127d,128d,44f",0.0,False,False
47,2d,2019-01-13 06:00:00.000000,Gare,"64d,141d",0.0,False,False
48,2d,2019-01-13 23:00:00.000000,EMI,"131d,27f",0.0,False,False
49,2d,2019-01-14 11:00:00.000000,Gare,"21d,38d,53d",0.0,False,False
50,2d,2019-01-14 15:00:00.000000,ENIM,"4d,26d,28d,77d,104d,125d,131d",0.0,False,False
51,2d,2019-01-14 22:00:00.000000,Gare,"70d,145d",0.0,False,False
52,2d,2019-01-15 02:00:00.000000,Gare,"26f,45f",0.0,False,False
53,3d,2019-01-01 20:00:00.000000,EMI,"88d,95d,62f",0.0,False,False
54,3d,2019-01-02 06:00:00.000000,Carrefour,82d,0.0,False,False
55,3d,2019-01-02 12:00:00.000000,EMI,"22d,47d,89d",0.0,False,False
56,3d,2019-01-03 09:00:00.000000,Carrefour,"35d,41c,49f",0.0,False,False
57,3d,2019-01-03 12:00:00.000000,Carrefour,"112d,123d,132d",0.0,False,False
58,3d,2019-01-03 22:00:00.000000,Maisons 1,"23d,105d,131d,80f,117f,149f",0.0,False,False
59,3d,2019-01-04 09:00:00.000000,Carrefour,"124d,38f",0.0,False,False
60,3d,2019-01-04 13:00:00.000000,Gare,"23d,31d",0.0,False,False
61,3d,2019-01-04 17:00:00.000000,EMI,"134d,27f,92f",0.0,False,False
62,3d,2019-01-04 18:00:00.000000,Carrefour,"93d,124d",0.0,False,False
63,3d,2019-01-05 11:00:00.000000,EMI,"35d,50d,95d,96d",0.0,False,False
64,3d,2019-01-05 17:00:00.000000,Carrefour,"82d,119d",0.0,False,False
65,3d,2019-01-05 21:00:00.000000,EMI,"60d,85d,95d,115d",0.0,False,False
66,3d,2019-01-06 08:00:00.000000,Carrefour,"35d,148d,76f",0.0,False,False
67,3d,2019-01-06 17:00:00.000000,EMI,"26d,64d",0.0,False,False
68,3d,2019-01-06 18:00:00.000000,Maisons 1,"23d,41d,68d,82f,85f,128f",0.0,False,False
69,3d,2019-01-06 23:00:00.000000,Carrefour,115d,0.0,False,False
70,3d,2019-01-07 04:00:00.000000,Carrefour,"38f,76f",0.0,False,False
71,3d,2019-01-08 08:00:00.000000,Maisons 1,"15d,68d,95d,99d,73c",0.0,False,False
72,3d,2019-01-08 17:00:00.000000,EMI,"19d,37d,66d,84d",0.0,False,False
73,3d,2019-01-08 21:00:00.000000,Carrefour,"72d,122d,132d",0.0,False,False
74,3d,2019-01-09 14:00:00.000000,Gare,"23d,69d,137d,12f",0.0,False,False
75,3d,2019-01-10 05:00:00.000000,Carrefour,65d,0.0,False,False
76,3d,2019-01-11 16:00:00.000000,EMI,"51d,145d",0.0,False,False
77,3d,2019-01-11 21:00:00.000000,Carrefour,"81d,82d,138d,140d,145d,149d",0.0,False,False
78,3d,2019-01-12 08:00:00.000000,Carrefour,"35d,93d,110d,121d,138d,148d",0.0,False,False
79,3d,2019-01-12 17:00:00.000000,EMI,"118d,141f",0.0,False,False
80,3d,2019-01-13 01:00:00.000000,ENIM,"17d,26d,44d,76d,92e",0.0,False,False
81,3d,2019-01-13 02:00:00.000000,Carrefour,"32d,49f",0.0,False,False
82,3d,2019-01-13 22:00:00.000000,ENIM,"46d,53d,66d,79d,108d,141d,88f,129f",0.0,False,False
83,3d,2019-01-14 08:00:00.000000,Carrefour,"11d,67d,110d,148d,49f",0.0,False,False
84,3d,2019-01-14 22:00:00.000000,ENIM,"9d,33d,41d,45d,61d,64d,81d,103d,109d,147d",0.0,False,False
85,4d,2019-01-02 23:00:00.000000,Gare,9d,0.0,False,False
86,4d,2019-01-03 11:00:00.000000,Arribat Center,"118d,44f,80f",0.0,False,False
87,4d,2019-01-03 15:00:00.000000,Gare,"12d,54d,122d,10f,141f",0.0,False,False
88,4d,2019-01-03 18:00:00.000000,ENIM,"11d,128d,10f",0.0,False,False
89,4d,2019-01-03 23:00:00.000000,Arribat Center,119d,0.0,False,False
90,4d,2019-01-04 00:00:00.000000,Gare,109d,0.0,False,False
91,4d,2019-01-04 21:00:00.000000,Arribat Center,"108d,115d,130d,137d",0.0,False,False
92,4d,2019-01-05 08:00:00.000000,Arribat Center,82f,0.0,False,False
93,4d,2019-01-05 19:00:00.000000,ENIM,"26d,114d",0.0,False,False
94,4d,2019-01-06 08:00:00.000000,Arribat Center,94d,0.0,False,False
95,4d,2019-01-06 22:00:00.000000,ENIM,"1d,23d,27d,31d,36d,54d,86d,89d,111d,49f",0.0,False,False
96,4d,2019-01-07 08:00:00.000000,Arribat Center,"60d,82f",0.0,False,False
97,4d,2019-01-07 20:00:00.000000,Maisons 1,1d,0.0,False,False
98,4d,2019-01-09 09:00:00.000000,Maisons 1,"15d,27d,49d,27c",0.0,False,False
99,4d,2019-01-10 22:00:00.000000,Gare,"14d,76d,79d,81d,105d,117d,118d",0.0,False,False
100,4d,2019-01-11 09:00:00.000000,Arribat Center,"21d,17f,44f",0.0,False,False
101,4d,2019-01-13 08:00:00.000000,Maisons 1,"63d,96d,119d,131d",0.0,False,False
