,zone_id,date_period,zone_score
0,lot 3,2019-01-01 09:00:00,0.0
1,lot 3,2019-01-01 10:00:00,0.0
2,lot 3,2019-01-01 11:00:00,0.0
3,lot 3,2019-01-01 12:00:00,0.0
4,lot 3,2019-01-01 13:00:00,0.0
5,lot 3,2019-01-01 14:00:00,0.0
6,lot 3,2019-01-01 15:00:00,0.0
7,lot 3,2019-01-01 16:00:00,0.0
8,lot 3,2019-01-01 17:00:00,0.0
9,lot 3,2019-01-01 18:00:00,0.0
10,lot 3,2019-01-01 19:00:00,0.0
11,lot 3,2019-01-01 20:00:00,0.0
12,lot 3,2019-01-01 21:00:00,0.0
13,lot 3,2019-01-01 22:00:00,0.28460563654276455
14,lot 3,2019-01-01 23:00:00,0.0
15,lot 3,2019-01-02 00:00:00,0.0
16,lot 3,2019-01-02 01:00:00,0.0
17,lot 3,2019-01-02 02:00:00,0.0
18,lot 3,2019-01-02 03:00:00,0.0
19,lot 3,2019-01-02 04:00:00,0.0
20,lot 3,2019-01-02 05:00:00,0.0
21,lot 3,2019-01-02 06:00:00,0.0
22,lot 3,2019-01-02 07:00:00,0.0
23,lot 3,2019-01-02 08:00:00,0.0
24,lot 3,2019-01-02 09:00:00,0.0
25,lot 3,2019-01-02 10:00:00,0.0
26,lot 3,2019-01-02 11:00:00,0.0
27,lot 3,2019-01-02 12:00:00,0.0
28,lot 3,2019-01-02 13:00:00,0.0
29,lot 3,2019-01-02 14:00:00,0.0
30,lot 3,2019-01-02 15:00:00,0.0
31,lot 3,2019-01-02 16:00:00,0.0
32,lot 3,2019-01-02 17:00:00,0.0
33,lot 3,2019-01-02 18:00:00,0.0
34,lot 3,2019-01-02 19:00:00,0.0
35,lot 3,2019-01-02 20:00:00,0.0
36,lot 3,2019-01-02 21:00:00,0.0
37,lot 3,2019-01-02 22:00:00,0.0
38,lot 3,2019-01-02 23:00:00,0.0
39,lot 3,2019-01-03 00:00:00,0.0
40,lot 3,2019-01-03 01:00:00,0.0
41,lot 3,2019-01-03 02:00:00,0.0
42,lot 3,2019-01-03 03:00:00,0.0
43,lot 3,2019-01-03 04:00:00,0.0
44,lot 3,2019-01-03 05:00:00,0.0
45,lot 3,2019-01-03 06:00:00,0.0
46,lot 3,2019-01-03 07:00:00,0.0
47,lot 3,2019-01-03 08:00:00,0.0
48,lot 3,2019-01-03 09:00:00,0.0
49,lot 3,2019-01-03 10:00:00,0.0
50,lot 3,2019-01-03 11:00:00,0.0
51,lot 3,2019-01-03 12:00:00,0.0
52,lot 3,2019-01-03 13:00:00,0.0
53,lot 3,2019-01-03 14:00:00,0.0
54,lot 3,2019-01-03 15:00:00,0.0
55,lot 3,2019-01-03 16:00:00,0.0
56,lot 3,2019-01-03 17:00:00,0.28460563654276455
57,lot 3,2019-01-03 18:00:00,0.0
58,lot 3,2019-01-03 19:00:00,0.0
59,lot 3,2019-01-03 20:00:00,0.0
60,lot 3,2019-01-03 21:00:00,0.0
61,lot 3,2019-01-03 22:00:00,0.0
62,lot 3,2019-01-03 23:00:00,0.0
63,lot 3,2019-01-04 00:00:00,0.0
64,lot 3,2019-01-04 01:00:00,0.0
65,lot 3,2019-01-04 02:00:00,0.0
66,lot 3,2019-01-04 03:00:00,0.0
67,lot 3,2019-01-04 04:00:00,0.0
68,lot 3,2019-01-04 05:00:00,0.0
69,lot 3,2019-01-04 06:00:00,0.0
70,lot 3,2019-01-04 07:00:00,0.0
71,lot 3,2019-01-04 08:00:00,0.28460563654276455
72,lot 3,2019-01-04 09:00:00,0.0
73,lot 3,2019-01-04 10:00:00,0.0
74,lot 3,2019-01-04 11:00:00,0.0
75,lot 3,2019-01-04 12:00:00,0.0
76,lot 3,2019-01-04 13:00:00,0.0
77,lot 3,2019-01-04 14:00:00,0.0
78,lot 3,2019-01-04 15:00:00,0.0
79,lot 3,2019-01-04 16:00:00,0.0
80,lot 3,2019-01-04 17:00:00,0.0
81,lot 3,2019-01-04 18:00:00,0.0
82,lot 3,2019-01-04 19:00:00,0.0
83,lot 3,2019-01-04 20:00:00,0.0
84,lot 3,2019-01-04 21:00:00,0.0
85,lot 3,2019-01-04 22:00:00,0.0
86,lot 3,2019-01-04 23:00:00,0.0
87,lot 3,2019-01-05 00:00:00,0.0
88,lot 3,2019-01-05 01:00:00,0.0
89,lot 3,2019-01-05 02:00:00,0.0
90,lot 3,2019-01-05 03:00:00,0.0
91,lot 3,2019-01-05 04:00:00,0.0
92,lot 3,2019-01-05 05:00:00,0.0
93,lot 3,2019-01-05 06:00:00,0.0
94,lot 3,2019-01-05 07:00:00,0.0
95,lot 3,2019-01-05 08:00:00,0.0
96,lot 3,2019-01-05 09:00:00,0.0
97,lot 3,2019-01-05 10:00:00,0.0
98,lot 3,2019-01-05 11:00:00,0.0
99,lot 3,2019-01-05 12:00:00,0.0
100,lot 3,2019-01-05 13:00:00,0.0
101,lot 3,2019-01-05 14:00:00,0.0
